Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
94.1704621,0,0.000428858,0.762243917,0.001262678,1.230222072,0.012185661,0.000500306,1.02E-06,0.004549576,0,3.821539656,1114.58294,1108.650857,-115.6257162
94.199602,0,0.062459695,0.886780829,0.000867635,1.01000984,0.001539835,3.22E-09,3.51E-10,0.004023309,0.005781862,3.828838459,1480.42833,1475.531572,-157.5947103
94.24586708,0,0.068431984,1.02274793,0,0.811933715,2.96E-07,0.004468022,1.51E-07,0,0.016905312,3.786563639,11480.08903,11535.81721,-1305.831357
94.25796169,0,0.083202988,1.091361159,0.005110364,0.748471847,5.00E-07,1.27E-08,7.78E-07,0.006835431,0,3.740735007,1693.682628,1689.783134,-182.0687374
94.25796169,0,0.083202988,1.091361159,0.005110364,0.748471847,5.00E-07,8.54E-08,7.76E-07,0.006835431,0,3.807255374,1693.74615,1689.846656,-182.1322596
94.304031,0,0.087325176,0.988848382,0.003523148,0.78470834,0.002324209,0.000714412,2.19E-06,0.001970959,0.009105126,3.800602913,1257.652327,1252.30571,-131.9621931
94.304031,0,0.087325176,0.988848382,0.003891536,0.78470834,0.002324209,0.000714412,2.19E-06,0.004829964,0.009105126,3.800602913,1257.655492,1252.308875,-131.9653584
94.30519462,0,0.088710844,0.917270835,0.011234067,0.838281052,5.15E-08,6.87E-08,1.74E-06,9.56E-05,0.009388446,3.829727725,40170.18001,40407.22167,-4600.151085
94.32270303,0,0.062459695,0.886780829,0.000867635,1.01000984,0.001539835,4.47E-10,3.51E-10,0.004023309,0.000968993,3.828838459,1480.310595,1475.413837,-157.4769755
94.32767225,0,0.101570954,0.830749857,2.77E-07,0.805495068,5.63E-09,0.001949814,0.002014738,9.86E-08,0.011406417,3.787744393,2588.999397,2589.90236,-284.8288341
94.32979324,0,0.005416176,0.766656956,0.004667086,1.081976456,0.015377143,0.001294741,8.21E-08,0.001602791,0.012593432,3.78310787,7965.414876,7999.051381,-902.3196501
94.33527739,0,0.075711375,0.897246944,0.000710304,0.859486199,0.001104231,1.05E-08,0.00051878,0.00406479,0.012665017,3.827810082,27763.13996,27921.70949,-3175.53199
94.34516061,0,0.087325176,0.779533991,0,0.957594947,1.24E-08,8.75E-07,5.23E-07,0.002564721,0.004542649,3.820170961,42032.36002,42281.17284,-4813.977722
94.34791891,0,0.093395363,0.824952153,0.0129197,0.900043384,0,2.22E-07,4.09E-07,0.002396936,0.003986801,3.814289617,1102.731257,1096.679753,-114.2258364
94.36178108,0,0.058112172,0.946028779,0.000411841,0.859349446,6.54E-06,2.90E-07,3.74E-09,0.00904906,0.00605262,3.759134033,2483.937808,2484.136801,-272.8863129
